Experiment,Model,Threshold,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR
C1: Real Only,CatBoost,0.3,0.14092140921409213,0.5226130653266332,0.22198505869797225,104,634,95,3255,0.1630239136024685
C1: Real Only,CatBoost,0.35,0.1484375,0.47738693467336685,0.22646007151370678,95,545,104,3344,0.14013885317562355
C1: Real Only,CatBoost,0.4,0.14673913043478262,0.40703517587939697,0.21571238348868177,81,471,118,3418,0.12111082540498842
C1: Real Only,CatBoost,0.45,0.14977973568281938,0.3417085427135678,0.2082695252679939,68,386,131,3503,0.09925430701979944
C1: Real Only,CatBoost,0.5,0.1518324607329843,0.2914572864321608,0.19965576592082615,58,324,141,3565,0.08331190537413216
C1: Real Only,CatBoost,0.55,0.15434083601286175,0.24120603015075376,0.18823529411764706,48,263,151,3626,0.06762663923887889
C1: Real Only,CatBoost,0.6,0.15384615384615385,0.20100502512562815,0.17429193899782136,40,220,159,3669,0.056569812291077395
C1: Real Only,CatBoost,0.65,0.17391304347826086,0.18090452261306533,0.17733990147783252,36,171,163,3718,0.043970172280791975
C1: Real Only,CatBoost,0.7,0.19753086419753085,0.16080402010050251,0.1772853185595568,32,130,167,3759,0.03342761635381846
C1: Real Only,CatBoost,0.75,0.2,0.12562814070351758,0.15432098765432098,25,100,174,3789,0.025713551041398816
C1: Real Only,CatBoost,0.8,0.24324324324324326,0.09045226130653267,0.13186813186813187,18,56,181,3833,0.014399588583183338
C1: Real Only,CatBoost,0.85,0.3235294117647059,0.05527638190954774,0.0944206008583691,11,23,188,3866,0.005914116739521728
C1: Real Only,CatBoost,0.9,0.38461538461538464,0.02512562814070352,0.04716981132075472,5,8,194,3881,0.0020570840833119054
C3-A: Real + Synth 1:1,Random Forest,0.1,0.07775442809966977,0.6475,0.13883677298311445,259,3072,141,4704,0.3950617283950617
C3-A: Real + Synth 1:1,Random Forest,0.15,0.09143407122232916,0.475,0.15334947538337368,190,1888,210,5888,0.24279835390946503
C3-A: Real + Synth 1:1,Random Forest,0.2,0.1062874251497006,0.355,0.16359447004608296,142,1194,258,6582,0.15354938271604937
C3-A: Real + Synth 1:1,Random Forest,0.25,0.10588235294117647,0.225,0.144,90,760,310,7016,0.09773662551440329
C3-A: Real + Synth 1:1,Random Forest,0.3,0.122040072859745,0.1675,0.14120126448893572,67,482,333,7294,0.06198559670781893
C3-A: Real + Synth 1:1,Random Forest,0.35,0.1346153846153846,0.1225,0.12827225130890052,49,315,351,7461,0.04050925925925926
C3-A: Real + Synth 1:1,Random Forest,0.4,0.14479638009049775,0.08,0.10305958132045089,32,189,368,7587,0.024305555555555556
C3-A: Real + Synth 1:1,Random Forest,0.45,0.1590909090909091,0.0525,0.07894736842105263,21,111,379,7665,0.01427469135802469
C3-A: Real + Synth 1:1,Random Forest,0.5,0.17204301075268819,0.04,0.06490872210953347,16,77,384,7699,0.009902263374485597
C3-A: Real + Synth 1:1,Random Forest,0.55,0.1346153846153846,0.0175,0.030973451327433628,7,45,393,7731,0.005787037037037037
C3-A: Real + Synth 1:1,Random Forest,0.6,0.07142857142857142,0.005,0.009345794392523364,2,26,398,7750,0.0033436213991769547
C3-A: Real + Synth 1:1,Random Forest,0.65,0.06666666666666667,0.0025,0.004819277108433735,1,14,399,7762,0.001800411522633745
