Experiment,Model,Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
C1: Real Only,CatBoost,3,0.8838630806845966,0.1518987341772152,0.3,0.20168067226890757,0.800706940874036,0.12589087025830367
C1: Real Only,CatBoost,4,0.8727050183598531,0.10843373493975904,0.23076923076923078,0.14754098360655737,0.833267418100323,0.16942245601411599
C1: Real Only,CatBoost,5,0.8886168910648715,0.1076923076923077,0.175,0.13333333333333333,0.781885456885457,0.1710351046952946
C3-A: Real + Synth 1:1,Random Forest,1,0.9400977995110025,0.0,0.0,0.0,0.6576518316195373,0.0763742834786014
C3-A: Real + Synth 1:1,Random Forest,2,0.9492354740061162,0.36363636363636365,0.05,0.08791208791208792,0.7012580385852091,0.10432575866873797
C3-A: Real + Synth 1:1,Random Forest,3,0.9363914373088685,0.07142857142857142,0.025,0.037037037037037035,0.631274115755627,0.07500175359544729
C3-A: Real + Synth 1:1,Random Forest,4,0.946177370030581,0.3181818181818182,0.0875,0.13725490196078433,0.7001446945337619,0.12608857946808477
C3-A: Real + Synth 1:1,Random Forest,5,0.946177370030581,0.21428571428571427,0.0375,0.06382978723404255,0.7153657556270097,0.115068356005801
C3-A: Real + Synth 1:1,Logistic Regression,1,0.6387530562347188,0.07487520798668885,0.5625,0.13215859030837004,0.6657535347043703,0.0928378533954223
C3-A: Real + Synth 1:1,Logistic Regression,2,0.5920489296636086,0.08486562942008487,0.75,0.15247776365946633,0.7041720257234726,0.0939393278545922
C3-A: Real + Synth 1:1,Logistic Regression,3,0.6403669724770642,0.07807308970099668,0.5875,0.1378299120234604,0.6814871382636656,0.08355447663791479
C3-A: Real + Synth 1:1,Logistic Regression,4,0.6097859327217126,0.07598784194528875,0.625,0.13550135501355012,0.6803536977491962,0.09133134402238467
C3-A: Real + Synth 1:1,Logistic Regression,5,0.6110091743119266,0.08006042296072508,0.6625,0.14285714285714285,0.6833922829581994,0.08415389413832973
C3-A: Real + Synth 1:1,XGBoost,1,0.906479217603912,0.08045977011494253,0.0875,0.08383233532934131,0.6323505784061696,0.07147971078365584
C3-A: Real + Synth 1:1,XGBoost,2,0.9119266055045872,0.08974358974358974,0.0875,0.08860759493670886,0.659863344051447,0.0801941619265935
C3-A: Real + Synth 1:1,XGBoost,3,0.908256880733945,0.08333333333333333,0.0875,0.08536585365853659,0.6386012861736334,0.07929484982969534
C3-A: Real + Synth 1:1,XGBoost,4,0.9143730886850153,0.1511627906976744,0.1625,0.1566265060240964,0.63766077170418,0.10206527896648046
C3-A: Real + Synth 1:1,XGBoost,5,0.908868501529052,0.1368421052631579,0.1625,0.14857142857142858,0.6748311897106111,0.09557415736495187
C3-A: Real + Synth 1:1,LightGBM,1,0.8667481662591687,0.06329113924050633,0.125,0.08403361344537816,0.6192641388174808,0.07925049054683037
C3-A: Real + Synth 1:1,LightGBM,2,0.872782874617737,0.1144578313253012,0.2375,0.15447154471544716,0.6920498392282958,0.09481094386685404
C3-A: Real + Synth 1:1,LightGBM,3,0.8685015290519877,0.07547169811320754,0.15,0.100418410041841,0.6145016077170418,0.0740620077685497
C3-A: Real + Synth 1:1,LightGBM,4,0.8813455657492355,0.1346153846153846,0.2625,0.17796610169491525,0.6698472668810289,0.11412463904936901
C3-A: Real + Synth 1:1,LightGBM,5,0.8685015290519877,0.11864406779661017,0.2625,0.16342412451361868,0.6957636655948554,0.09424558646666155
C3-A: Real + Synth 1:1,CatBoost,1,0.8746943765281173,0.10191082802547771,0.2,0.1350210970464135,0.6443685732647815,0.07937591365574731
C3-A: Real + Synth 1:1,CatBoost,2,0.8795107033639143,0.13664596273291926,0.275,0.1825726141078838,0.684927652733119,0.09596187059800038
C3-A: Real + Synth 1:1,CatBoost,3,0.8642201834862385,0.08235294117647059,0.175,0.112,0.6383118971061094,0.07795571897032857
C3-A: Real + Synth 1:1,CatBoost,4,0.8801223241590214,0.1419753086419753,0.2875,0.19008264462809918,0.6711736334405145,0.11371669787194984
C3-A: Real + Synth 1:1,CatBoost,5,0.8758409785932721,0.14857142857142858,0.325,0.20392156862745098,0.6972990353697751,0.1163929892544632
C3-B: Real + Synth 2:1,Random Forest,1,0.9356153219233904,0.045454545454545456,0.01694915254237288,0.024691358024691357,0.6938922103552356,0.08770625223258306
C3-B: Real + Synth 2:1,Random Forest,2,0.9453952730236349,0.1,0.01694915254237288,0.028985507246376812,0.7687340376131878,0.12906255845396947
C3-B: Real + Synth 2:1,Random Forest,3,0.9461663947797716,0.21428571428571427,0.05172413793103448,0.08333333333333333,0.7621634388285309,0.12389745856751681
C3-B: Real + Synth 2:1,Random Forest,4,0.9420880913539967,0.07142857142857142,0.01694915254237288,0.0273972602739726,0.6954235835766054,0.10236405564324752
C3-B: Real + Synth 2:1,Random Forest,5,0.9437194127243067,0.2222222222222222,0.06779661016949153,0.1038961038961039,0.7311083031966653,0.12075832808735316
C3-B: Real + Synth 2:1,Logistic Regression,1,0.6519967400162999,0.07990867579908675,0.5932203389830508,0.14084507042253522,0.6941751799396332,0.08036929486227164
C3-B: Real + Synth 2:1,Logistic Regression,2,0.6471067644661777,0.09871244635193133,0.7796610169491526,0.17523809523809525,0.7697498258648712,0.1180879510566101
C3-B: Real + Synth 2:1,Logistic Regression,3,0.6598694942903752,0.09843400447427293,0.7586206896551724,0.17425742574257425,0.7576169107227207,0.1108978004746069
C3-B: Real + Synth 2:1,Logistic Regression,4,0.636215334420881,0.08917197452229299,0.711864406779661,0.15849056603773584,0.7191698255704181,0.09640265704187612
C3-B: Real + Synth 2:1,Logistic Regression,5,0.6655791190864601,0.0831353919239905,0.5932203389830508,0.14583333333333334,0.6823522577084513,0.09475483615665696
C3-B: Real + Synth 2:1,XGBoost,1,0.9062754686226568,0.1111111111111111,0.13559322033898305,0.12213740458015267,0.6749767819828186,0.08528661843542248
C3-B: Real + Synth 2:1,XGBoost,2,0.9160554197229014,0.1206896551724138,0.11864406779661017,0.11965811965811966,0.7420042953331786,0.10146087981698139
C3-B: Real + Synth 2:1,XGBoost,3,0.9274061990212071,0.1836734693877551,0.15517241379310345,0.16822429906542055,0.7233850968351441,0.1233511878085383
C3-B: Real + Synth 2:1,XGBoost,4,0.9102773246329527,0.1076923076923077,0.11864406779661017,0.11290322580645161,0.6345692998126443,0.07804213212211858
